ID,OPR,Auto,CCWM
USNYNYBRQ3,35.738,15.076,25.788
USNYNYQUQ5,21.253,-0.363,-6.229
USNYNYNYSQ,58.326,19.744,31.498
USNYNYCMP,42.158,15.576,-46.377
