ID,OPR,Auto,CCWM
USTXCEGCM6,-4.009,-0.686,-53.902
USTXCEGCM2,26.844,1.448,-18.005
USTXCEGCM4,12.927,4.433,-55.651
USTXCEGCLT,31.931,21.374,-27.229
