ID,OPR,Auto,CCWM
USNJSOM3,15.816,1.802,-20.912
USNJSOM1,18.231,7.273,-15.649
USNJSOM4,41.246,2.529,-11.49
USNJSOM5,60.013,8.127,9.205
USNJSOM6,27.822,-3.875,-8.143
USNJSOLT2,45.03,4.902,2.097
