ID,OPR,Auto,CCWM
CAABABSAM1A,65.726,12.771,51.476
CAABABSAM4,55.218,5.949,-6.881
CAABCMP,66.842,5.694,20.36
CAABABSALTDOW,99.225,17.752,79.668
FTCCMP1JEMI,53.975,12.17,-46.021
