ID,OPR,Auto,CCWM
USTXNOMLM1,12.974,-1.143,-4.709
USTXNOMLM2,27.123,4.004,-33.626
USTXNOMLM3,35.721,8.318,-3.508
USTXNOFMLT,40.43,-2.538,6.205
