ID,OPR,Auto,CCWM
USMIWCM1,14.097,7.806,2.628
USMIWCM2,-2.808,-2.928,-25.773
USMIWCM4,25.362,1.751,27.016
USMIWCM3,1.494,1.065,-10.949
USMISELT,28.666,1.063,13.04
