ID,OPR,Auto,CCWM
USTXWPMDM1,27.566,2.137,13.259
USTXWPMDM2,53.648,6.49,29.435
USTXWPMDM3,33.552,10.116,-24.523
USTXWPMDLT,74.619,20.643,48.057
USTXWPCMP,72.18,30.034,32.34
USTXSOBES,63.289,17.294,-16.317
USTXCECMPJHNS,36.107,0.427,-79.593
