ID,OPR,Auto,CCWM
USKYKYM4,30.101,7.138,-18.233
USOHOXQ,39.52,2.12,9.651
USKYKYM1,44.65,11.453,14.657
USOHWAQ,45.552,13.917,-14.903
USKYCMP,50.699,23.069,-45.172
USOHCMP,64.52,20.018,0.719
