ID,OPR,Auto,CCWM
USCALACOS,30.56,7.138,31.531
USCALABM1,21.749,-0.065,8.285
USCALABM2,15.111,5.825,1.935
USCALABM3,21.19,9.352,-42.035
USCALADBQ1,30.621,12.222,-15.175
