ID,OPR,Auto,CCWM
USCHSLAOS,111.111,30.05,-6.132
USOKOKLAM3,78.097,19.132,45.177
USOKOKLAM8,71.502,17.582,77.535
USOKOKLAM12,63.946,11.555,33.997
USOKOKLALT2,90.927,21.704,33.337
USOKCMP,103.055,23.076,58.661
FTCCMP1OCHO,120.061,25.931,35.453
