ID,OPR,Auto,CCWM
USTXNOBLM1,23.95,1.083,7.144
USTXNOBLM2,39.326,18.821,28.752
USTXNOBLM3,39.379,16.125,2.5
USTXNOBTLT,47.34,12.838,-24.381
USTXNOATSQ,35.628,15.031,10.38
