ID,OPR,Auto,CCWM
USNJNOM1,16.906,-8.74,-54.325
USNJNOM5,33.405,3.549,17.805
USNJNOM6,-5.025,12.909,-15.838
USNJNOLT,48.886,-1.057,15.339
