Team Number,Team Name,Region
6383,HHS Robotics - Error Code 301,Chesapeake
6387,Brobots,Missouri
6390,Falcons,Chesapeake
6402,Mariners,Rhode Island
6406,First Tech Coyotes,Chesapeake
6407,Mechanical Mustangs Secretariat,Texas Central
6417,Blu Cru,Chesapeake
6418,NDCL Robotics,Ohio
6420,SabreHOOF Tigers,Iowa
6424,Oly Cow,Washington
6426,RoboHodags,Wisconsin
6427,Wright Angle Robotics,Washington
6433,Neutrinos,Florida
6436,AlphaGenesis,California Southern
6437,Mad Hatters,Montana
6448,Blue Jays,Louisiana
6454,Saints Robotics,New York Excelsior
6455,MoHawk Warriors Red,Texas Houston
6458,Burgbots,Iowa
6460,RoboWarriors,New York Excelsior
6482,Red Storm Robotics-Red,Michigan
6494,Control Freaks WHITE,Michigan
6496,SEP Nerd Herd,New York City
6499,Warrior Bots,Iowa
6516,ChargerBots,Mississippi
6518,Westside Black,Indiana
6527,The Indecision Matrices,Rhode Island
6540,Railsplitters,Pennsylvania
6545,Knight Riders,Iowa
6546,RoboCats,Iowa
6547,Cobalt Colts,Missouri
6549,Whoa!Bots,Pennsylvania
6552,Northeast High School,Pennsylvania
6556,Tempest,Mississippi
6559,Geared Reaction,Washington
6566,Circuit Breakers,Texas North
6567,Roboraiders,New York Excelsior
6584,Rhinos,Mexico
6596,Robotic Rams,Illinois
6600,Ballen Pretzels Central Lyon,Iowa
6603,Guild of Gears,Iowa
6606,Dobbins Force,Pennsylvania
6625,Allerton 2.0,Iowa
6638,Gamma Shift,Iowa
6645,Roboticus Maximus,North Dakota
6652,Cone Nappers,Chesapeake
6661,Starmont Sundevils,Iowa
6662,Robo Falcons A,Iowa
6666,Quad Six,Iowa
6676,RoboLancers Crimson,Pennsylvania
6699,Tempest,Minnesota
6704,Bot Shop,Mississippi
6708,Sour Patch Kids,Minnesota
6727,Aluminumati,Oregon
6731,Ringers,Vermont
6762,N R G (Northwestern Robotics Gearheads),Connecticut
6811,Hardcore Hard Drives,Michigan
6831,Robo Bearcats,Mississippi
6832,Iron Reign,Texas Central
6889,Robo Crusaders,Missouri
6892,The Waterboys,Texas South
6899,Blue Bots,Jamaica
6901,Droid Rage - Phantom,Texas Central
6914,Charging Chaos,Wisconsin
6934,The TranSisters,New Jersey
6936,CodeRunners,New Jersey
6942,Pandemonium,New York Long Island
6945,System Overload,New York Excelsior
6949,Einstein Eagles,California Northern
6955,RoBovines,New York Excelsior
6962,Pok̩bolts,Hawaii
6973,Radical Robotics,Oklahoma
6974,Monsters of Mechanics,Oklahoma
6976,Bronc Botz,Texas Central
6983,CouGEARS,New Jersey
6984,STEMpocalypse Awakened,Wisconsin
6985,Droid Rage Rewired,Wisconsin
6988,CyberStingers Gold,Georgia
6989,Spartans,Georgia
6990,Static Void,Texas Central
6996,Oncoming Storm,New York Excelsior
7000,RoboSharks,Minnesota
7002,Couch Potatoes,Montana
7006,RoboTitans,Illinois
7017,Robotic Fallout,Florida
7021,RoboEagles,South Carolina
7026,JDroids,New Jersey
7030,RoboMinds,Illinois
7031,Battle Blazers,Michigan
7034,Singularity Technology 7034,Connecticut
7039,Lord of the Bricks,Chesapeake
7040,CyberFalcons,New Jersey
7043,Golden Gears,Michigan
7045,BLOWNFUSES,Michigan
7047,Mechanical Monkeys,Michigan
7048,Purple Protons,Michigan
7064,R-Cubed,Texas Central
7065,JunkYard Bots,Michigan
7078,Ov3r1y K0mp13x,New Hampshire
7079,FalTech,Texas Central
7080,BACON,Chesapeake
7083,TundraBots,North Carolina
7085,F.L.A.G. Fight Like a Girl,Michigan
7093,RaiderBots,Rhode Island
7095,S.T.O.R.M.,Missouri
7100,Good Enough,Oregon
7105,SWIFT Intergalactic Space Llamas,North Carolina
7110,The Element of Surprise,Iowa
7120,Bionica,New York Long Island
7128,TINO PIOBOTS,California Northern
7129,Robo Raiders,Illinois
7130,Royal Robots,Iowa
7135,Hornets,New Hampshire
7136,Higgs Bosons,Ohio
7139,KHS Robotics,Missouri
7140,Knightmares,Michigan
7149,ENFORCERS,New Jersey
7153,Vindicem,Georgia
7156,Wolves Robotics 2,Arizona
7159,Robo Ravens,California San Diego
7161,ViperBots Hydra,Texas Central
7163,The Bazinga Project,Oklahoma
7164,FalconBots,New York Long Island
7172,Technical Difficulties,Colorado
7175,Walbots,California Northern
7193,South Spencer High School,Indiana
7196,Everything That's Radical,Iowa
7198,Mechanical Minks,Washington
7209,Tech Hogs Robotics,Arkansas
7215,Turning Gears,Michigan
7224,West Grand Robotics-Mechanical Mustangs 1.0,Colorado
7229,bzBots,Iowa
7230,SAS Atoms,New York Excelsior
7231,The Purple Circuits,Minnesota
7238,Blue and White Lightning Strikes,Michigan
7242,BC Robocats,Oklahoma
7244,OUT of the BOX Robotics,Pennsylvania
7245,Big Green,Massachusetts
7247,The H2O Loo Bots,Iowa
7251,Comets,New Jersey
7252,Vicious Volts,Michigan
7253,Raging Robots,Michigan
7255,STEAM Stingers,Michigan
7258,Epsilon Robotics,Iowa
7259,Void Robotics,Iowa
7277,Mandela United Squadron - First Unit,Alberta
7278,LibraryBots,Chesapeake
7281,Cyber Knights,Minnesota
7288,RoboGlaciers,Minnesota
7290,JagWires,Minnesota
7299,Timber Bots,Washington
7303,RoboAvatars,California Northern
7305,The GearCats - Clague Middle School,Michigan
7316,Iron Panthers,California Northern
7324,Oxymorons,Ohio
7330,Nocturnal,Washington
7332,DodgerBOTS,Iowa
7341,F.R.E.N.C.H. F.R.I.E.S.,Florida
7346,Mustachio Peanuts,Chesapeake
7350,Watt's NXT?,New Jersey
7373,Eagle Robotics - Carbon Fiber,Georgia
7390,MSET JellyFish,California Northern
7393,electron Volts,Chesapeake
7400,Shmizmin,Iowa
7407,Team VEGA,New York Long Island
7414,Deceptibots,New Jersey
7416,Silver Spartans,Pennsylvania
7417,Portledge Robotics,New York Long Island
7418,Batteries Not Included,Vermont
7420,MechaSpartans,New York Excelsior
7423,Flaming Phoenix,Pennsylvania
7424,Robotic Warriors,Missouri
7438,Hot Spot Robotics,Hawaii
7444,Sisters of the Motherboard,North Carolina
7460,Thunder,California Southern
7462,Not to Scale,Washington
7470,Abstract Bots,Oregon
7473,The no-namers,Oregon
7474,The Devitos,Oregon
7477,Super 7,Florida
7482,Axel-otls,Georgia
7486,Suffern Robotics,New York Excelsior
7495,Axtell 2.0,Iowa
7496,Robotic Nerds,Oregon
7497,Bomb Shell,Oregon
7498,Classified,Oregon
7499,OH... That One Team,Oregon
7506,System Overload,Oklahoma
7518,QO CouGears,Chesapeake
7519,QO CougarBotics,Chesapeake
7525,Nerdy Birds,Missouri
7532,The Core in Blue,Missouri
7547,JoeBotics Green,Missouri
7553,Team Loki,California Southern
7571,Alumineers,Massachusetts
7584,Bad News Bots,Delaware
7588,Catlateral Damage,Minnesota
7592,Roarbots,Florida
7593,TigerBots,California Northern
7604,DWAI,Oregon
7609,Lions,California San Diego
7610,Cone-querors,California Northern
7613,Sinagua Robotics,Arizona
7615,Mechanical Mustangs Affirmed,Texas Central
7627,Breaking Bot 7627,Illinois
7631,Instant Oats,Chesapeake
7641,MSET BettaFish,California Northern
7643,Tiger Tech Orange 7643,Michigan
7662,Dragons,New York Long Island
7673,Dragons & Tiaras FTC 7673,Georgia
7676,Whidbey Island Wildcats,Washington
7678,Eldon Gearheads Maroon Team,Missouri
7689,Clarkston Chicken Bots,Michigan
7693,TECHNADOS,Michigan
7715,Robotic Lions,Illinois
7716,Knight Tech Robotics,Arizona
7719,RISE,Florida
7732,TAF@Saghalie Skyrise,Washington
7742,The Electric Sheep,Washington
7759,Autonomous Prime,Washington
7760,Mishap,Washington
7767,Blueprints,California Southern
7772,P.A.N.T.H.E.R.S.,Michigan
7783,Electric Wave,Tennessee
7786,MT Blue Streaks,Pennsylvania
7788,Travis Fiddlerbots,Texas Houston
7792,Q^2,Michigan
7797,Victorian Voltage,Texas Central
7813,Alpha Hawks,New Mexico
7823,Roadrunner Robotics,Iowa
7830,Stewart Robotics Co.,Washington
7833,DCAC,California Southern
7834,Drastic Measures,California Southern
7835,VEXX,California Southern
7837,The Thunder Colts,Michigan
7841,Ballen Pretzels 2,Iowa
7842,Browncoats,Alabama
7844,Ratchet Bots,Chesapeake
7854,MidKnight Madness,California Northern
7878,Cougarbots,Oregon
7880,The Carnivorous Rabbits,Iowa
7883,Iron Patriots,Pennsylvania
7896,Royal Screw-Ups,Minnesota
7897,Squires of the Circular Countertop,Minnesota
7899,The Sentinels,Minnesota
7900,Black Knights,Minnesota
7904,Robotigers,Texas North
7924,Red Toques,Iowa
7935,The Dragons 2.0,Washington
7951,The KAONS,Missouri
7953,Vertigo,Chesapeake
7959,Cougar Cubs,New Jersey
7961,MotorDame,Missouri
7974,Great Scott!,Wisconsin
7988,Brogrammers,Chesapeake
7989,Autonomous Rex,North Carolina
8013,Team Kuiper,New York Long Island
8027,Twisted Devils Blue,Michigan
8034,Easy as Pi,Minnesota
8039,Mechanical Menace,California Southern
8080,Ironclad,Texas Houston
8081,Knights of the Lab Table,Arizona
8087,Seahorse Stallions,New York City
8088,Team Cephalopods,New York City
8089,Mainframe Meltdown,New Hampshire
8094,Robotic Rampage,Chesapeake
8095,NAnobots,Chesapeake
8097,Botcats,California San Diego
8099,Hanford Falcons,Washington
8101,Metalmorphosis,Minnesota
8103,null robotics,Washington
8109,RISE Robotics,New York Long Island
8110,Invicta,New York Long Island
8114,Lewisville HS,Texas North
8120,Electric Hornets,Ohio
8129,Sons of Liberty,Rhode Island
8130,Vikings,Texas North
8132,Gear Heads,Oregon
8133,"Laker Robotics, Bionic Sailors Team 8133",Michigan
