Team Number,Team Name
18978,SemiPlatinum Penguins
20153,Silver Wolves
21428,Silver Eagles
99990,Off-Season Demo Team
99991,Off-Season Demo Team
99992,Off-Season Demo Team
99993,Off-Season Demo Team
99994,Off-Season Demo Team
99995,Off-Season Demo Team
99996,Off-Season Demo Team
99997,Off-Season Demo Team
99998,Off-Season Demo Team
21849,TechTonics
22487,UK 459 - Oxford High School - Cubotics
22576,UK 463 - St. Paul's Girls' School - SPGS
22593,UK 451 - Harris Academy Sutton - Lupus
22610,JLC Legion
22688,UK 464 - Copthall - Copteam
22699,UK 454-Barking Abbey School-Techerz
22808,UK 457 - St. John's - Horizons
15469,UK 170 - Alconbury HS - The Scally Lads & The Wrench
18889,UK O63 - Perton Middle School - Team Snap Wire
19259,UK OOO - Organisation - Team Name
19269,UK 105 - Bishop Perowne
19270,Calderstones
19280,UK 235 - Blackout Robotics 
19284,UK 248 - ASL Team 5 - MS ASP G8
20981,UK 035 - St John Fisher - Circuit Breakers Vol2
20982,UK 032 - St John Fisher - Hotwire rewired
20992,Berkeley Robotics
20993,UK 090 - Outwood Academy Newbold - GroundX
20998,fernDOWNLOAD#239
21000,@FSL_ROBOTICS_2022
21008,The Observatory School 1
21011,UK 126 - AUEA - Bostin Dynamics
21014,UK 009-Woodhouse Academy-Sleepy Sloths
21116,UK MCB
21135,Newbotics 101 UK 007
21187,426 Equuleus 21187
21203,108 Oldfields
21206,TEAM 183
21207,TEAM 425
21648,UK 429 - Alconbury HS - Mr. Krabs
22456,UK 447 - BSG - BSGRobotics
22457,UK 456 - BSG - BSGRobotics
22486,Denstone College
22619,UK OOO - Poole Grammar School - Robotron
22640,UK 465 - Harrow School - Team Euclid
22663,UK 041 - SMWCA - VNATION
22706,UK 049-St. Patricks College-SPC
22802,Swanage
22877,UK 149-The Petchey Academy-Petchey Robotics
23053,UK272
5309,Plan B
14374,Dark Matter
15830,SWIFT Subaquatic Sea Kraken
18664,Skyline Vikings
18984,Hurricanes505
18994,SWIFT Subterranean Sand Sharks
19846,STEM Warriors
20979,Redstone Robotics
21836,Marvels of IAR
310,Stuy Fission
5064,Aperture Science
5843,AutoVortex
6133,"The ""NUTS!"""
7149,ENFORCERS
7172,Technical Difficulties
7244,OUT of the BOX Robotics
8365,Gearmasters
8393,The Giant Diencephalic BrainSTEM Robotics Team
8719,Quantum Leap
9889,Cruise Control
10355,Project Peacock
10738,SBS  Bears
11329,I.C.E. Robotics
12014,FireWires
12560,Soft Hoarders
12589,Pioneer Robotics
12791,Iterative Intentions
13356,RoboForce
14259,TURBΩ V8
14270,Quantum Robotics
14361,CPHS ROBOLOBOS GREEN
14481,Don't Blink
14525,TerraBats
14725,Java the Hutts
15972,TehnoZ
16158,VC Silver Circuits
16379,KookyBotz
16449,Juniper Robotics
17080,NewT.exe
17962,Ro2D2
18270,RoboPlayers
19043,CyLiis
19193,SESI SENAI SC AgroTech
19458,Equilibrium.exe 
21229,Quality Control
22312,The Brobdingnagian Tritocephalic BrainSTEM Robotics Team
9784,Dry Ice
11311,Paragon
12635,Kuriosity Robotics
19600,Treeman 树人
21316,Team Alpha
13710,Artemis
6645,Roboticus Maximus
15886,Shiloh Stud Muffins
16127,Rogue Robot 
4155,M.I.T (Muskogee's Innovative Team)
5141,Warrior Bots
7242,BC Robocats
11572,Mouse Spit
6708,Sour Patch Kids
7281,Cyber Knights
11117,Autonomice
12660,Robotters
14521,Excalibur
14931,PioNerds Black
17008,PioNerds Green
18555,Unity High School TechSperts
18748,Techno Scorpions
18749,Kaos
18750,The Mechanical Wizards
3208,L8 Lynx
3825,Lightning Lynx
4951,Dimond Legendary Lynx
12651,Metal Knights
12656,ThunderBots
16660,Technomancers
16970,Dimond Lynx Links
18848,Westie Besties
19953,Scrap Metal
22323,Metal Feather
5898,Galactic Lions - Andromeda
7673,Dragons & Tiaras FTC 7673
18443,Galactic Lions - Cygnus
3558,FireBots
4650,Crusader Robotics
5713,Crusader Robotics
9182,Short Circuits
9617,Loose Screws
10075,Tech Turtles
