Link,Name,Location,Start,End
USTXNOCLM1,TX-North C-League Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USTXSOHAM1,TX-South Hawking Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USTXNOBLM1,TX-North B-League Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USTXSOCUM1,TX-South Curie Meet 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USTXCEGCM7,TX-Central Daphne Koller Scrimmage 1,USA,2022-10-22 00:00:00,2022-10-22 00:00:00
USAKAKSCM2,AK Southcentral Alaska League Meet #2,USA,2022-10-25 00:00:00,2022-10-25 00:00:00
USCALAOJS,CA-SoCal League V - Meet 0,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USFLFLNEM1,FL North East League Meet #1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USFLFLOCM1,FL ONECLAY League Meet #1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USFLORS,FL Orlando Robotics League Scrimmage,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USGADOUGM1,GA Douglasville Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USGAMACM1,GA Macon Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USGAMARIM1,GA Marietta Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USGAATLM1,GA Atlanta Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USHI01M6,HI Iolani School,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USIAHYM11,Hydro_Meet_2022-10-29,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USIAMAM5,IA Magnetic_Meet_2022-10-29,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USIASOM8,IA Solar_Meet_2022-10-29,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USMIWCM1,MI Metro Detroit Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USMISCM1,MI South Central Meet 1,USA,2022-10-27 00:00:00,2022-10-27 00:00:00
USMIOCM5,MI OCCRA Meet 2,USA,2022-10-28 00:00:00,2022-10-28 00:00:00
USMISCM2,MI South Central Meet 2,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USMNCM1,MN FTC Cass Lake League Meet 1,USA,2022-10-26 00:00:00,2022-10-26 00:00:00
USMNMM1,MN FTC Mille Lacs League Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USMNPM1,MN FTC Pepin League Meet 1,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USMSWVS1,MS Water Valley Build-it Day/Scrimmage,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
USNCRAS,NC Robot in 6 Weeks,USA,2022-10-29 00:00:00,2022-10-29 00:00:00
