OPR1,Auto1,CCWM1,OPR2,Auto2,CCWM2,OPR3,Auto3,CCWM3,OPR4,Auto4,CCWM4,score1,score2,diff
29.177,-6.212,-15.826,27.218,19.915,-57.982,29.813,10.2,-74.943,83.853,20.785,45.365,97,133,-36
67.561,12.845,26.273,87.351,22.143,57.177,15.406,-0.097,-56.101,63.272,19.377,14.37,136,87,49
131.857,25.372,107.484,45.724,14.054,11.247,1.947,11.619,-103.059,104.101,20.078,62.91,176,84,92
40.794,18.203,-71.222,25.23,11.277,-7.014,53.798,14.793,-8.945,81.9,9.148,70.266,94,118,-24
63.272,19.377,14.37,29.813,10.2,-74.943,87.351,22.143,57.177,15.406,-0.097,-56.101,72,105,-33
45.724,14.054,11.247,1.947,11.619,-103.059,27.218,19.915,-57.982,67.561,12.845,26.273,97,141,-44
40.794,18.203,-71.222,81.9,9.148,70.266,104.101,20.078,62.91,83.853,20.785,45.365,119,178,-59
131.857,25.372,107.484,29.177,-6.212,-15.826,25.23,11.277,-7.014,53.798,14.793,-8.945,112,73,39
4.074,0.173,-33.5,22.234,1.94,-4.33,37.274,15.736,-14.412,47.47,7.164,37.113,39,63,-24
35.559,9.899,18.101,68.931,18.582,44.662,45.4,10.276,17.103,35.912,9.447,8.644,93,56,37
25.875,-2.084,3.266,14.217,10.498,-20.403,8.519,5.313,-6.815,11.463,5.564,-36.967,37,6,31
-2.086,-0.544,-33.091,39.15,6.159,25.263,46.187,7.596,31.679,3.487,-3.887,-36.315,4,63,-59
35.559,9.899,18.101,45.4,10.276,17.103,22.234,1.94,-4.33,37.274,15.736,-14.412,81,65,16
8.519,5.313,-6.815,35.912,9.447,8.644,47.47,7.164,37.113,25.875,-2.084,3.266,2,65,-63
11.463,5.564,-36.967,39.15,6.159,25.263,3.487,-3.887,-36.315,68.931,18.582,44.662,52,60,-8
46.187,7.596,31.679,-2.086,-0.544,-33.091,14.217,10.498,-20.403,4.074,0.173,-33.5,32,13,19
45.4,10.276,17.103,22.234,1.94,-4.33,25.875,-2.084,3.266,8.519,5.313,-6.815,52,35,17
11.463,5.564,-36.967,47.47,7.164,37.113,39.15,6.159,25.263,37.274,15.736,-14.412,65,102,-37
68.931,18.582,44.662,-2.086,-0.544,-33.091,14.217,10.498,-20.403,35.559,9.899,18.101,74,34,40
35.912,9.447,8.644,46.187,7.596,31.679,3.487,-3.887,-36.315,4.074,0.173,-33.5,103,29,74
45.4,10.276,17.103,39.15,6.159,25.263,22.234,1.94,-4.33,11.463,5.564,-36.967,98,44,54
47.47,7.164,37.113,68.931,18.582,44.662,-2.086,-0.544,-33.091,25.875,-2.084,3.266,106,30,76
35.912,9.447,8.644,37.274,15.736,-14.412,46.187,7.596,31.679,14.217,10.498,-20.403,88,72,16
8.519,5.313,-6.815,3.487,-3.887,-36.315,35.559,9.899,18.101,4.074,0.173,-33.5,21,41,-20
22.234,1.94,-4.33,47.47,7.164,37.113,68.931,18.582,44.662,11.463,5.564,-36.967,62,82,-20
37.274,15.736,-14.412,45.4,10.276,17.103,-2.086,-0.544,-33.091,35.912,9.447,8.644,68,71,-3
14.217,10.498,-20.403,8.519,5.313,-6.815,39.15,6.159,25.263,3.487,-3.887,-36.315,44,20,24
25.875,-2.084,3.266,35.559,9.899,18.101,4.074,0.173,-33.5,46.187,7.596,31.679,72,26,46
11.463,5.564,-36.967,-2.086,-0.544,-33.091,35.912,9.447,8.644,22.234,1.94,-4.33,4,53,-49
3.487,-3.887,-36.315,14.217,10.498,-20.403,47.47,7.164,37.113,45.4,10.276,17.103,9,135,-126
37.274,15.736,-14.412,46.187,7.596,31.679,68.931,18.582,44.662,8.519,5.313,-6.815,74,103,-29
4.074,0.173,-33.5,25.875,-2.084,3.266,39.15,6.159,25.263,35.559,9.899,18.101,24,90,-66
24.031,5.51,7.076,43.254,13.778,8.387,38.519,6.617,3.223,71.087,19.845,26.658,80,69,11
42.46,15.923,-2.595,8.93,-5.79,-45.347,21.668,11.358,-23.958,40.143,13.689,10.189,48,79,-31
16.72,11.651,-16.855,24.456,4.279,-34.208,13.529,3.592,-39.23,31.973,8.078,24.288,48,46,2
52.178,9.22,35.566,77.615,20.716,19.058,6.497,3.596,-34.723,97.771,18.936,62.47,130,80,50
43.254,13.778,8.387,8.93,-5.79,-45.347,42.46,15.923,-2.595,24.031,5.51,7.076,54,66,-12
31.973,8.078,24.288,71.087,19.845,26.658,40.143,13.689,10.189,13.529,3.592,-39.23,141,26,115
38.519,6.617,3.223,6.497,3.596,-34.723,24.456,4.279,-34.208,52.178,9.22,35.566,51,65,-14
97.771,18.936,62.47,21.668,11.358,-23.958,16.72,11.651,-16.855,77.615,20.716,19.058,131,103,28
13.529,3.592,-39.23,24.031,5.51,7.076,40.143,13.689,10.189,42.46,15.923,-2.595,36,109,-73
31.973,8.078,24.288,52.178,9.22,35.566,6.497,3.596,-34.723,71.087,19.845,26.658,103,50,53
77.615,20.716,19.058,38.519,6.617,3.223,8.93,-5.79,-45.347,16.72,11.651,-16.855,148,29,119
97.771,18.936,62.47,24.456,4.279,-34.208,21.668,11.358,-23.958,43.254,13.778,8.387,120,42,78
52.178,9.22,35.566,6.497,3.596,-34.723,42.46,15.923,-2.595,13.529,3.592,-39.23,80,58,22
31.973,8.078,24.288,16.72,11.651,-16.855,8.93,-5.79,-45.347,24.031,5.51,7.076,24,15,9
77.615,20.716,19.058,21.668,11.358,-23.958,71.087,19.845,26.658,43.254,13.778,8.387,74,139,-65
40.143,13.689,10.189,97.771,18.936,62.47,24.456,4.279,-34.208,38.519,6.617,3.223,118,61,57
16.72,11.651,-16.855,13.529,3.592,-39.23,6.497,3.596,-34.723,8.93,-5.79,-45.347,43,26,17
24.031,5.51,7.076,31.973,8.078,24.288,21.668,11.358,-23.958,52.178,9.22,35.566,22,52,-30
24.456,4.279,-34.208,40.143,13.689,10.189,43.254,13.778,8.387,77.615,20.716,19.058,68,104,-36
71.087,19.845,26.658,42.46,15.923,-2.595,97.771,18.936,62.47,38.519,6.617,3.223,92,144,-52
13.529,3.592,-39.23,6.497,3.596,-34.723,24.031,5.51,7.076,21.668,11.358,-23.958,34,87,-53
43.254,13.778,8.387,40.143,13.689,10.189,52.178,9.22,35.566,16.72,11.651,-16.855,84,62,22
38.519,6.617,3.223,42.46,15.923,-2.595,77.615,20.716,19.058,31.973,8.078,24.288,78,111,-33
71.087,19.845,26.658,97.771,18.936,62.47,8.93,-5.79,-45.347,24.456,4.279,-34.208,196,39,157
118.546,36.699,87.262,51.072,11.042,-14.341,31.565,0.245,-23.007,32.622,14.746,-14.838,151,66,85
60.89,10.035,-1.251,63.242,14.732,6.628,59.819,14.09,16.425,16.273,8.731,-58.389,142,70,72
50.412,10.017,19.344,76.19,7.366,16.696,29.871,10.105,-43.97,10.682,-5.088,-43.311,130,27,103
80.342,13.134,26.361,29.244,14.61,-28.559,44.867,5.727,5.885,94.696,23.476,49.065,109,133,-24
60.89,10.035,-1.251,59.819,14.09,16.425,118.546,36.699,87.262,31.565,0.245,-23.007,120,136,-16
10.682,-5.088,-43.311,63.242,14.732,6.628,50.412,10.017,19.344,16.273,8.731,-58.389,88,39,49
76.19,7.366,16.696,94.696,23.476,49.065,51.072,11.042,-14.341,44.867,5.727,5.885,186,105,81
29.244,14.61,-28.559,29.871,10.105,-43.97,80.342,13.134,26.361,32.622,14.746,-14.838,51,118,-67
59.819,14.09,16.425,31.565,0.245,-23.007,10.682,-5.088,-43.311,50.412,10.017,19.344,96,41,55
94.696,23.476,49.065,51.072,11.042,-14.341,16.273,8.731,-58.389,63.242,14.732,6.628,133,117,16
44.867,5.727,5.885,29.244,14.61,-28.559,29.871,10.105,-43.97,118.546,36.699,87.262,78,147,-69
32.622,14.746,-14.838,60.89,10.035,-1.251,76.19,7.366,16.696,80.342,13.134,26.361,70,143,-73
31.565,0.245,-23.007,10.682,-5.088,-43.311,63.242,14.732,6.628,94.696,23.476,49.065,84,148,-64
51.072,11.042,-14.341,29.871,10.105,-43.97,29.244,14.61,-28.559,59.819,14.09,16.425,78,104,-26
32.622,14.746,-14.838,50.412,10.017,19.344,60.89,10.035,-1.251,44.867,5.727,5.885,69,73,-4
80.342,13.134,26.361,16.273,8.731,-58.389,76.19,7.366,16.696,118.546,36.699,87.262,67,236,-169
94.696,23.476,49.065,31.565,0.245,-23.007,59.819,14.09,16.425,29.871,10.105,-43.97,123,79,44
29.244,14.61,-28.559,51.072,11.042,-14.341,50.412,10.017,19.344,60.89,10.035,-1.251,101,133,-32
44.867,5.727,5.885,32.622,14.746,-14.838,16.273,8.731,-58.389,10.682,-5.088,-43.311,97,46,51
118.546,36.699,87.262,80.342,13.134,26.361,63.242,14.732,6.628,76.19,7.366,16.696,233,82,151
29.871,10.105,-43.97,50.412,10.017,19.344,94.696,23.476,49.065,60.89,10.035,-1.251,117,173,-56
16.273,8.731,-58.389,44.867,5.727,5.885,31.565,0.245,-23.007,29.244,14.61,-28.559,68,30,38
10.682,-5.088,-43.311,118.546,36.699,87.262,51.072,11.042,-14.341,80.342,13.134,26.361,88,136,-48
63.242,14.732,6.628,59.819,14.09,16.425,32.622,14.746,-14.838,76.19,7.366,16.696,121,120,1
38.059,15.996,-0.65,42.7,-2.35,24.627,38.279,15.703,-4.859,46.763,8.233,8.668,49,28,21
50.185,29.138,-7.836,21.871,-5.998,-23.228,94.445,25.39,67.791,35.817,12.883,0.649,45,151,-106
71.51,8.342,30.872,-6.872,3.021,-94.374,37.835,12.326,-11.662,79.17,27.085,44.996,62,150,-88
41.434,6.285,-6.596,57.681,13.74,2.299,36.694,-2.85,-35.733,50.185,29.138,-7.836,124,110,14
21.871,-5.998,-23.228,94.445,25.39,67.791,38.059,15.996,-0.65,79.17,27.085,44.996,75,101,-26
38.279,15.703,-4.859,57.681,13.74,2.299,42.7,-2.35,24.627,35.817,12.883,0.649,60,64,-4
41.434,6.285,-6.596,37.835,12.326,-11.662,71.51,8.342,30.872,46.763,8.233,8.668,80,93,-13
-6.872,3.021,-94.374,21.871,-5.998,-23.228,36.694,-2.85,-35.733,42.7,-2.35,24.627,10,93,-83
71.51,8.342,30.872,79.17,27.085,44.996,57.681,13.74,2.299,38.059,15.996,-0.65,177,90,87
41.434,6.285,-6.596,35.817,12.883,0.649,37.835,12.326,-11.662,94.445,25.39,67.791,46,111,-65
36.694,-2.85,-35.733,-6.872,3.021,-94.374,38.279,15.703,-4.859,50.185,29.138,-7.836,43,141,-98
46.763,8.233,8.668,41.434,6.285,-6.596,57.681,13.74,2.299,21.871,-5.998,-23.228,84,111,-27
-6.872,3.021,-94.374,38.279,15.703,-4.859,94.445,25.39,67.791,71.51,8.342,30.872,29,190,-161
79.17,27.085,44.996,36.694,-2.85,-35.733,35.817,12.883,0.649,46.763,8.233,8.668,42,87,-45
38.059,15.996,-0.65,37.835,12.326,-11.662,42.7,-2.35,24.627,50.185,29.138,-7.836,63,84,-21
46.763,8.233,8.668,57.681,13.74,2.299,94.445,25.39,67.791,-6.872,3.021,-94.374,144,93,51
42.7,-2.35,24.627,38.279,15.703,-4.859,79.17,27.085,44.996,41.434,6.285,-6.596,80,139,-59
35.817,12.883,0.649,36.694,-2.85,-35.733,71.51,8.342,30.872,38.059,15.996,-0.65,84,169,-85
50.185,29.138,-7.836,37.835,12.326,-11.662,21.871,-5.998,-23.228,38.279,15.703,-4.859,76,104,-28
35.817,12.883,0.649,38.059,15.996,-0.65,-6.872,3.021,-94.374,41.434,6.285,-6.596,83,26,57
50.185,29.138,-7.836,71.51,8.342,30.872,46.763,8.233,8.668,42.7,-2.35,24.627,94,132,-38
79.17,27.085,44.996,94.445,25.39,67.791,37.835,12.326,-11.662,36.694,-2.85,-35.733,186,87,99
57.681,13.74,2.299,71.51,8.342,30.872,21.871,-5.998,-23.228,38.059,15.996,-0.65,75,58,17
7.773,2.369,-11.238,2.721,2.492,-28.874,7.32,-1.081,-15.561,10.779,0.074,-11.668,28,10,18
28.43,3.348,15.792,44.344,12.255,25.883,10.497,0.027,-22.127,33.642,2.736,23.485,54,29,25
23.861,0.665,0.005,11.963,0.751,7.579,10.433,5.56,-3.189,12.97,1.941,-14.773,11,2,9
6.365,2.496,-18.169,7.773,2.369,-11.238,43.466,8.577,28.488,45.971,11.949,27.928,10,84,-74
33.642,2.736,23.485,7.32,-1.081,-15.561,11.963,0.751,7.579,10.497,0.027,-22.127,16,19,-3
45.971,11.949,27.928,44.344,12.255,25.883,23.861,0.665,0.005,2.721,2.492,-28.874,120,20,100
6.365,2.496,-18.169,10.433,5.56,-3.189,10.779,0.074,-11.668,28.43,3.348,15.792,20,27,-7
12.97,1.941,-14.773,23.861,0.665,0.005,7.32,-1.081,-15.561,43.466,8.577,28.488,34,61,-27
44.344,12.255,25.883,6.365,2.496,-18.169,10.433,5.56,-3.189,11.963,0.751,7.579,20,40,-20
10.497,0.027,-22.127,28.43,3.348,15.792,10.779,0.074,-11.668,43.466,8.577,28.488,57,85,-28
7.773,2.369,-11.238,12.97,1.941,-14.773,33.642,2.736,23.485,2.721,2.492,-28.874,30,57,-27
45.971,11.949,27.928,10.779,0.074,-11.668,11.963,0.751,7.579,44.344,12.255,25.883,47,64,-17
10.433,5.56,-3.189,23.861,0.665,0.005,7.773,2.369,-11.238,10.497,0.027,-22.127,45,22,23
2.721,2.492,-28.874,43.466,8.577,28.488,6.365,2.496,-18.169,33.642,2.736,23.485,18,47,-29
45.971,11.949,27.928,28.43,3.348,15.792,12.97,1.941,-14.773,7.32,-1.081,-15.561,75,20,55
43.466,8.577,28.488,7.773,2.369,-11.238,11.963,0.751,7.579,6.365,2.496,-18.169,25,23,2
33.642,2.736,23.485,10.779,0.074,-11.668,23.861,0.665,0.005,7.32,-1.081,-15.561,38,46,-8
10.497,0.027,-22.127,10.433,5.56,-3.189,2.721,2.492,-28.874,45.971,11.949,27.928,12,47,-35
28.43,3.348,15.792,12.97,1.941,-14.773,44.344,12.255,25.883,7.773,2.369,-11.238,45,52,-7
43.466,8.577,28.488,33.642,2.736,23.485,10.433,5.56,-3.189,45.971,11.949,27.928,96,43,53
10.779,0.074,-11.668,10.497,0.027,-22.127,12.97,1.941,-14.773,6.365,2.496,-18.169,27,31,-4
2.721,2.492,-28.874,11.963,0.751,7.579,28.43,3.348,15.792,23.861,0.665,0.005,13,61,-48
7.32,-1.081,-15.561,6.365,2.496,-18.169,44.344,12.255,25.883,10.433,5.56,-3.189,22,67,-45
49.744,17.042,11.896,22.693,1.057,-9.077,53.778,16.041,29.566,18.977,3.01,-10.429,45,60,-15
26.195,3.68,-14.407,36.241,5.23,-15.068,103.182,28.948,84.051,25.581,11.785,-34.374,39,138,-99
16.846,2.073,-34.446,32.253,2.53,12.573,35.311,5.628,11.601,6.238,-6.153,-39.137,21,41,-20
53.723,10.615,8.744,18.327,7.433,-40.1,58.739,19.54,35.216,53.778,16.041,29.566,72,139,-67
16.846,2.073,-34.446,36.241,5.23,-15.068,18.977,3.01,-10.429,49.744,17.042,11.896,63,110,-47
26.195,3.68,-14.407,58.739,19.54,35.216,18.327,7.433,-40.1,35.311,5.628,11.601,103,60,43
22.693,1.057,-9.077,6.238,-6.153,-39.137,53.723,10.615,8.744,103.182,28.948,84.051,26,192,-166
32.253,2.53,12.573,53.778,16.041,29.566,25.581,11.785,-34.374,16.846,2.073,-34.446,110,19,91
103.182,28.948,84.051,35.311,5.628,11.601,53.723,10.615,8.744,18.977,3.01,-10.429,94,41,53
32.253,2.53,12.573,26.195,3.68,-14.407,36.241,5.23,-15.068,22.693,1.057,-9.077,69,84,-15
6.238,-6.153,-39.137,18.327,7.433,-40.1,49.744,17.042,11.896,25.581,11.785,-34.374,49,52,-3
58.739,19.54,35.216,53.723,10.615,8.744,36.241,5.23,-15.068,32.253,2.53,12.573,76,50,26
6.238,-6.153,-39.137,49.744,17.042,11.896,22.693,1.057,-9.077,26.195,3.68,-14.407,34,62,-28
35.311,5.628,11.601,18.977,3.01,-10.429,18.327,7.433,-40.1,53.778,16.041,29.566,64,52,12
25.581,11.785,-34.374,58.739,19.54,35.216,16.846,2.073,-34.446,103.182,28.948,84.051,108,136,-28
53.778,16.041,29.566,35.311,5.628,11.601,6.238,-6.153,-39.137,36.241,5.23,-15.068,96,50,46
18.977,3.01,-10.429,16.846,2.073,-34.446,53.723,10.615,8.744,26.195,3.68,-14.407,35,96,-61
103.182,28.948,84.051,32.253,2.53,12.573,18.327,7.433,-40.1,49.744,17.042,11.896,154,58,96
25.581,11.785,-34.374,22.693,1.057,-9.077,58.739,19.54,35.216,35.311,5.628,11.601,14,68,-54
53.778,16.041,29.566,53.723,10.615,8.744,26.195,3.68,-14.407,103.182,28.948,84.051,83,95,-12
36.241,5.23,-15.068,18.327,7.433,-40.1,22.693,1.057,-9.077,16.846,2.073,-34.446,54,66,-12
18.977,3.01,-10.429,58.739,19.54,35.216,32.253,2.53,12.573,6.238,-6.153,-39.137,72,32,40
35.311,5.628,11.601,25.581,11.785,-34.374,49.744,17.042,11.896,53.723,10.615,8.744,109,145,-36
11.479,-1.694,-44.161,30.499,17.18,-36.755,42.432,0.909,-34.603,71.379,11.497,52.406,47,107,-60
24.536,13.22,-14.131,83.954,18.629,36.009,125.307,35.312,89.938,9.789,-2.742,-38.401,120,85,35
33.156,2.333,-48.033,65.838,19.855,12.604,53.38,16.658,9.007,77.112,3.174,24.949,76,145,-69
66.966,8.118,44.678,38.291,13.055,-6.275,27.664,16.67,-58.114,40.719,-0.84,10.883,64,79,-15
24.536,13.22,-14.131,9.789,-2.742,-38.401,71.379,11.497,52.406,30.499,17.18,-36.755,33,91,-58
53.38,16.658,9.007,42.432,0.909,-34.603,83.954,18.629,36.009,125.307,35.312,89.938,72,201,-129
65.838,19.855,12.604,77.112,3.174,24.949,40.719,-0.84,10.883,38.291,13.055,-6.275,105,112,-7
27.664,16.67,-58.114,66.966,8.118,44.678,33.156,2.333,-48.033,11.479,-1.694,-44.161,98,36,62
9.789,-2.742,-38.401,42.432,0.909,-34.603,71.379,11.497,52.406,53.38,16.658,9.007,75,164,-89
83.954,18.629,36.009,40.719,-0.84,10.883,30.499,17.18,-36.755,38.291,13.055,-6.275,94,76,18
77.112,3.174,24.949,33.156,2.333,-48.033,66.966,8.118,44.678,24.536,13.22,-14.131,113,63,50
65.838,19.855,12.604,125.307,35.312,89.938,27.664,16.67,-58.114,11.479,-1.694,-44.161,234,44,190
38.291,13.055,-6.275,53.38,16.658,9.007,30.499,17.18,-36.755,9.789,-2.742,-38.401,73,32,41
40.719,-0.84,10.883,42.432,0.909,-34.603,66.966,8.118,44.678,33.156,2.333,-48.033,88,141,-53
11.479,-1.694,-44.161,65.838,19.855,12.604,24.536,13.22,-14.131,125.307,35.312,89.938,42,147,-105
71.379,11.497,52.406,83.954,18.629,36.009,77.112,3.174,24.949,27.664,16.67,-58.114,188,55,133
9.789,-2.742,-38.401,53.38,16.658,9.007,40.719,-0.84,10.883,66.966,8.118,44.678,50,88,-38
38.291,13.055,-6.275,24.536,13.22,-14.131,42.432,0.909,-34.603,11.479,-1.694,-44.161,55,59,-4
77.112,3.174,24.949,30.499,17.18,-36.755,125.307,35.312,89.938,27.664,16.67,-58.114,128,186,-58
33.156,2.333,-48.033,71.379,11.497,52.406,83.954,18.629,36.009,65.838,19.855,12.604,65,158,-93
53.38,16.658,9.007,40.719,-0.84,10.883,11.479,-1.694,-44.161,24.536,13.22,-14.131,96,65,31
42.432,0.909,-34.603,27.664,16.67,-58.114,9.789,-2.742,-38.401,77.112,3.174,24.949,68,137,-69
30.499,17.18,-36.755,83.954,18.629,36.009,65.838,19.855,12.604,66.966,8.118,44.678,101,178,-77
125.307,35.312,89.938,71.379,11.497,52.406,38.291,13.055,-6.275,33.156,2.333,-48.033,182,99,83
78.898,26.222,76.944,87.256,18.986,40.653,20.989,4.59,-35.549,15.624,-5.633,-12.131,137,26,111
21.51,3.398,-51.717,74.553,23.696,39.17,74.17,17.492,-3.107,27.381,0.319,26.97,89,126,-37
15.612,1.936,-3.563,17.752,-1.66,-22.713,10.627,3.626,-29.369,3.95,-2.007,-15.116,15,10,5
60.498,24.057,21.349,56.631,17.321,32.044,9.187,2.539,-12.682,8.277,-0.746,-43.852,127,14,113
30.748,6.541,-19.33,26.983,-0.189,26.037,78.898,26.222,76.944,45.294,18.763,-11.698,65,130,-65
3.95,-2.007,-15.116,21.51,3.398,-51.717,15.624,-5.633,-12.131,87.256,18.986,40.653,18,104,-86
8.277,-0.746,-43.852,74.17,17.492,-3.107,17.752,-1.66,-22.713,20.989,4.59,-35.549,50,106,-56
10.627,3.626,-29.369,45.294,18.763,-11.698,56.631,17.321,32.044,74.553,23.696,39.17,58,125,-67
15.612,1.936,-3.563,9.187,2.539,-12.682,27.381,0.319,26.97,30.748,6.541,-19.33,20,39,-19
26.983,-0.189,26.037,74.17,17.492,-3.107,60.498,24.057,21.349,3.95,-2.007,-15.116,111,74,37
8.277,-0.746,-43.852,78.898,26.222,76.944,45.294,18.763,-11.698,21.51,3.398,-51.717,123,68,55
87.256,18.986,40.653,27.381,0.319,26.97,56.631,17.321,32.044,17.752,-1.66,-22.713,120,58,62
20.989,4.59,-35.549,30.748,6.541,-19.33,74.553,23.696,39.17,60.498,24.057,21.349,25,155,-130
15.624,-5.633,-12.131,9.187,2.539,-12.682,26.983,-0.189,26.037,10.627,3.626,-29.369,20,44,-24
45.294,18.763,-11.698,56.631,17.321,32.044,15.612,1.936,-3.563,74.17,17.492,-3.107,79,112,-33
17.752,-1.66,-22.713,60.498,24.057,21.349,21.51,3.398,-51.717,78.898,26.222,76.944,44,112,-68
15.624,-5.633,-12.131,3.95,-2.007,-15.116,30.748,6.541,-19.33,8.277,-0.746,-43.852,39,42,-3
27.381,0.319,26.97,10.627,3.626,-29.369,20.989,4.59,-35.549,26.983,-0.189,26.037,19,35,-16
74.553,23.696,39.17,15.612,1.936,-3.563,87.256,18.986,40.653,9.187,2.539,-12.682,94,104,-10
17.752,-1.66,-22.713,21.51,3.398,-51.717,56.631,17.321,32.044,30.748,6.541,-19.33,41,123,-82
45.294,18.763,-11.698,27.381,0.319,26.97,60.498,24.057,21.349,15.624,-5.633,-12.131,81,71,10
26.983,-0.189,26.037,74.553,23.696,39.17,8.277,-0.746,-43.852,15.612,1.936,-3.563,91,21,70
10.627,3.626,-29.369,87.256,18.986,40.653,74.17,17.492,-3.107,78.898,26.222,76.944,113,129,-16
3.95,-2.007,-15.116,20.989,4.59,-35.549,9.187,2.539,-12.682,45.294,18.763,-11.698,8,60,-52
20.798,6.252,-18.524,12.551,4.931,-36.388,76.362,26.399,44.045,34.087,9.155,23.9,27,83,-56
37.486,12.273,-15.547,32.399,5.883,21.32,19.056,-0.336,-2.244,13.358,5.9,-5.986,70,11,59
2.378,0.869,-8.904,10.536,-2.562,-43.965,6.445,2.024,-17.3,67.147,12.267,8.757,21,70,-49
8.59,6.14,-33.994,26.812,-2.426,9.054,11.583,0.258,-24.022,89.273,23.05,88.406,7,105,-98
76.771,22.248,24.072,13.334,-1.583,-17.497,9.176,9.298,-17.198,45.291,11.383,-1.899,101,57,44
41.561,18.816,2.429,24.936,6.195,-8.938,65.25,6.39,54.592,16.344,5.192,-30.249,70,96,-26
41.977,3.984,10.758,74.472,23.714,64.129,15.719,7.623,-19.927,27.508,-1.756,-23.512,128,25,103
5.743,-2.261,-20.311,24.852,-0.592,-26.5,64.557,22.747,35.121,35.822,18.653,18.754,24,52,-28
48.443,3.258,3.099,13.246,2.195,-9.347,6.059,-2.45,-33.985,54.479,14.068,7.798,22,66,-44
6.445,2.024,-17.3,11.583,0.258,-24.022,34.087,9.155,23.9,37.486,12.273,-15.547,6,80,-74
76.771,22.248,24.072,13.358,5.9,-5.986,8.59,6.14,-33.994,12.551,4.931,-36.388,103,25,78
41.561,18.816,2.429,13.334,-1.583,-17.497,26.812,-2.426,9.054,20.798,6.252,-18.524,58,75,-17
10.536,-2.562,-43.965,27.508,-1.756,-23.512,89.273,23.05,88.406,19.056,-0.336,-2.244,36,123,-87
24.852,-0.592,-26.5,2.378,0.869,-8.904,74.472,23.714,64.129,24.936,6.195,-8.938,10,74,-64
9.176,9.298,-17.198,13.246,2.195,-9.347,16.344,5.192,-30.249,5.743,-2.261,-20.311,32,34,-2
54.479,14.068,7.798,32.399,5.883,21.32,45.291,11.383,-1.899,64.557,22.747,35.121,63,117,-54
65.25,6.39,54.592,76.362,26.399,44.045,15.719,7.623,-19.927,6.059,-2.45,-33.985,147,17,130
35.822,18.653,18.754,67.147,12.267,8.757,41.977,3.984,10.758,48.443,3.258,3.099,132,103,29
13.358,5.9,-5.986,6.445,2.024,-17.3,27.508,-1.756,-23.512,41.561,18.816,2.429,10,81,-71
12.551,4.931,-36.388,19.056,-0.336,-2.244,13.334,-1.583,-17.497,2.378,0.869,-8.904,29,5,24
24.852,-0.592,-26.5,34.087,9.155,23.9,89.273,23.05,88.406,76.771,22.248,24.072,80,133,-53
24.936,6.195,-8.938,13.246,2.195,-9.347,32.399,5.883,21.32,10.536,-2.562,-43.965,54,40,14
45.291,11.383,-1.899,5.743,-2.261,-20.311,74.472,23.714,64.129,11.583,0.258,-24.022,47,76,-29
64.557,22.747,35.121,6.059,-2.45,-33.985,67.147,12.267,8.757,9.176,9.298,-17.198,53,58,-5
37.486,12.273,-15.547,8.59,6.14,-33.994,48.443,3.258,3.099,15.719,7.623,-19.927,30,67,-37
26.812,-2.426,9.054,76.362,26.399,44.045,16.344,5.192,-30.249,35.822,18.653,18.754,96,34,62
54.479,14.068,7.798,65.25,6.39,54.592,20.798,6.252,-18.524,41.977,3.984,10.758,96,55,41
41.561,18.816,2.429,19.056,-0.336,-2.244,13.246,2.195,-9.347,76.771,22.248,24.072,78,88,-10
24.936,6.195,-8.938,89.273,23.05,88.406,12.551,4.931,-36.388,5.743,-2.261,-20.311,109,18,91
34.087,9.155,23.9,27.508,-1.756,-23.512,6.059,-2.45,-33.985,32.399,5.883,21.32,31,50,-19
13.334,-1.583,-17.497,74.472,23.714,64.129,64.557,22.747,35.121,10.536,-2.562,-43.965,99,95,4
15.719,7.623,-19.927,26.812,-2.426,9.054,13.358,5.9,-5.986,24.852,-0.592,-26.5,38,28,10
67.147,12.267,8.757,37.486,12.273,-15.547,54.479,14.068,7.798,76.362,26.399,44.045,112,196,-84
11.583,0.258,-24.022,9.176,9.298,-17.198,35.822,18.653,18.754,65.25,6.39,54.592,14,106,-92
41.977,3.984,10.758,16.344,5.192,-30.249,2.378,0.869,-8.904,8.59,6.14,-33.994,50,19,31
45.291,11.383,-1.899,20.798,6.252,-18.524,6.445,2.024,-17.3,48.443,3.258,3.099,41,64,-23
27.508,-1.756,-23.512,64.557,22.747,35.121,24.936,6.195,-8.938,76.771,22.248,24.072,131,113,18
6.059,-2.45,-33.985,12.551,4.931,-36.388,74.472,23.714,64.129,26.812,-2.426,9.054,24,114,-90
34.087,9.155,23.9,13.358,5.9,-5.986,10.536,-2.562,-43.965,54.479,14.068,7.798,76,42,34
5.743,-2.261,-20.311,65.25,6.39,54.592,67.147,12.267,8.757,13.334,-1.583,-17.497,70,66,4
19.056,-0.336,-2.244,41.977,3.984,10.758,9.176,9.298,-17.198,24.852,-0.592,-26.5,53,47,6
32.399,5.883,21.32,48.443,3.258,3.099,76.362,26.399,44.045,41.561,18.816,2.429,96,82,14
11.583,0.258,-24.022,15.719,7.623,-19.927,2.378,0.869,-8.904,20.798,6.252,-18.524,52,35,17
89.273,23.05,88.406,45.291,11.383,-1.899,37.486,12.273,-15.547,16.344,5.192,-30.249,154,54,100
35.822,18.653,18.754,8.59,6.14,-33.994,13.246,2.195,-9.347,6.445,2.024,-17.3,77,36,41
