OPR1,Auto1,CCWM1,OPR2,Auto2,CCWM2,OPR3,Auto3,CCWM3,OPR4,Auto4,CCWM4,score1,score2,diff
63.672,19.689,-9.149,38.185,18.389,-6.85,21.869,14.465,-33.754,137.873,38.894,93.651,87,145,-58
8.162,4.041,-35.428,49.067,6.002,-39.974,53.05,10.546,-0.418,84.097,23.103,26.726,55,159,-104
35.397,15.383,-43.748,28.648,13.349,-8.42,50.81,9.85,18.913,43.563,16.31,-11.429,48,94,-46
54.972,16.473,15.805,68.98,19.987,1.704,60.883,23.124,-14.492,63.466,9.471,-5.242,142,113,29
23.651,-1.865,-20.316,42.256,13.473,-17.287,32.423,12.172,-24.845,34.748,14.597,4.086,22,58,-36
64.272,7.898,38.639,53.94,9.682,-20.929,94.406,21.785,61.56,63.024,16.68,40.269,86,149,-63
68.951,17.928,40.456,8.632,-2.96,-45.845,9.983,1.446,-40.322,21.869,14.465,-33.754,84,12,72
58.576,14.745,-4.042,49.723,18.076,-20.387,137.873,38.894,93.651,53.05,10.546,-0.418,131,194,-63
72.34,22.264,36.768,48.842,15.83,29.188,28.648,13.349,-8.42,68.359,17.657,24.781,133,98,35
30.062,16.161,-14.307,63.466,9.471,-5.242,64.419,23.924,0.328,8.162,4.041,-35.428,92,71,21
49.067,6.002,-39.974,43.563,16.31,-11.429,63.672,19.689,-9.149,54.972,16.473,15.805,90,118,-28
68.98,19.987,1.704,38.571,7.61,-0.98,38.185,18.389,-6.85,35.397,15.383,-43.748,124,92,32
60.883,23.124,-14.492,50.81,9.85,18.913,84.097,23.103,26.726,43.961,12.154,-14.711,114,92,22
137.873,38.894,93.651,64.272,7.898,38.639,32.423,12.172,-24.845,8.632,-2.96,-45.845,235,32,203
28.648,13.349,-8.42,68.951,17.928,40.456,53.05,10.546,-0.418,34.748,14.597,4.086,84,77,7
30.062,16.161,-14.307,53.94,9.682,-20.929,9.983,1.446,-40.322,42.256,13.473,-17.287,145,102,43
68.359,17.657,24.781,58.576,14.745,-4.042,43.563,16.31,-11.429,23.651,-1.865,-20.316,135,73,62
63.024,16.68,40.269,63.672,19.689,-9.149,63.466,9.471,-5.242,35.397,15.383,-43.748,145,123,22
84.097,23.103,26.726,94.406,21.785,61.56,49.723,18.076,-20.387,68.98,19.987,1.704,173,118,55
43.961,12.154,-14.711,72.34,22.264,36.768,49.067,6.002,-39.974,38.571,7.61,-0.98,131,94,37
21.869,14.465,-33.754,50.81,9.85,18.913,8.162,4.041,-35.428,54.972,16.473,15.805,55,88,-33
64.419,23.924,0.328,38.185,18.389,-6.85,48.842,15.83,29.188,60.883,23.124,-14.492,96,101,-5
34.748,14.597,4.086,137.873,38.894,93.651,43.563,16.31,-11.429,30.062,16.161,-14.307,166,73,93
68.359,17.657,24.781,53.05,10.546,-0.418,42.256,13.473,-17.287,8.632,-2.96,-45.845,134,61,73
63.466,9.471,-5.242,28.648,13.349,-8.42,58.576,14.745,-4.042,94.406,21.785,61.56,97,152,-55
43.961,12.154,-14.711,23.651,-1.865,-20.316,68.98,19.987,1.704,68.951,17.928,40.456,94,135,-41
53.94,9.682,-20.929,32.423,12.172,-24.845,72.34,22.264,36.768,35.397,15.383,-43.748,88,124,-36
38.571,7.61,-0.98,64.419,23.924,0.328,84.097,23.103,26.726,54.972,16.473,15.805,106,140,-34
50.81,9.85,18.913,38.185,18.389,-6.85,9.983,1.446,-40.322,63.024,16.68,40.269,91,54,37
60.883,23.124,-14.492,8.162,4.041,-35.428,64.272,7.898,38.639,63.672,19.689,-9.149,75,165,-90
49.067,6.002,-39.974,48.842,15.83,29.188,49.723,18.076,-20.387,21.869,14.465,-33.754,97,84,13
30.062,16.161,-14.307,53.05,10.546,-0.418,94.406,21.785,61.56,43.961,12.154,-14.711,89,131,-42
42.256,13.473,-17.287,68.951,17.928,40.456,63.466,9.471,-5.242,72.34,22.264,36.768,126,128,-2
35.397,15.383,-43.748,84.097,23.103,26.726,68.359,17.657,24.781,137.873,38.894,93.651,128,200,-72
58.576,14.745,-4.042,32.423,12.172,-24.845,38.571,7.61,-0.98,50.81,9.85,18.913,76,111,-35
54.972,16.473,15.805,64.272,7.898,38.639,38.185,18.389,-6.85,23.651,-1.865,-20.316,110,86,24
34.748,14.597,4.086,21.869,14.465,-33.754,63.024,16.68,40.269,60.883,23.124,-14.492,80,187,-107
8.632,-2.96,-45.845,64.419,23.924,0.328,28.648,13.349,-8.42,49.067,6.002,-39.974,76,85,-9
43.563,16.31,-11.429,9.983,1.446,-40.322,49.723,18.076,-20.387,8.162,4.041,-35.428,84,42,42
48.842,15.83,29.188,68.98,19.987,1.704,53.94,9.682,-20.929,63.672,19.689,-9.149,131,106,25
18.054,11.49,-32.28,2.492,0.424,-41.33,49.225,22.952,51.762,28.556,1.417,-34.995,39,71,-32
4.075,-1.296,-26.542,116.852,30.931,110.164,4.708,-5.136,-50.08,11.412,9.152,-4.29,113,8,105
42.926,17.85,-12.739,88.204,20.933,65.308,38.503,12.215,17.535,-1.406,-5.898,-23.203,136,62,74
31.937,18.59,-2.526,16.23,8.812,21.316,30.465,8.583,7.174,31.788,3.219,-25.667,71,28,43
-0.661,-7.048,-10.298,32.548,10.151,5.136,11.837,0.737,0.872,4.073,-3.097,-13.56,0,14,-14
28.731,2.374,12.887,4.389,-1.351,-16.421,34.392,16.22,17.426,6.524,3.818,-18.318,22,44,-22
10.823,-7.546,-16.992,49.225,22.952,51.762,116.852,30.931,110.164,-1.406,-5.898,-23.203,19,54,-35
30.465,8.583,7.174,38.503,12.215,17.535,28.556,1.417,-34.995,4.075,-1.296,-26.542,88,4,84
4.073,-3.097,-13.56,88.204,20.933,65.308,18.054,11.49,-32.28,31.788,3.219,-25.667,105,25,80
-0.661,-7.048,-10.298,11.412,9.152,-4.29,4.389,-1.351,-16.421,42.926,17.85,-12.739,7,14,-7
4.708,-5.136,-50.08,16.23,8.812,21.316,11.837,0.737,0.872,28.731,2.374,12.887,15,38,-23
10.823,-7.546,-16.992,31.937,18.59,-2.526,32.548,10.151,5.136,34.392,16.22,17.426,30,80,-50
6.524,3.818,-18.318,88.204,20.933,65.308,2.492,0.424,-41.33,30.465,8.583,7.174,72,59,13
42.926,17.85,-12.739,4.073,-3.097,-13.56,116.852,30.931,110.164,28.556,1.417,-34.995,60,150,-90
11.837,0.737,0.872,4.389,-1.351,-16.421,-1.406,-5.898,-23.203,18.054,11.49,-32.28,26,25,1
38.503,12.215,17.535,4.708,-5.136,-50.08,31.937,18.59,-2.526,-0.661,-7.048,-10.298,27,26,1
31.788,3.219,-25.667,49.225,22.952,51.762,4.075,-1.296,-26.542,34.392,16.22,17.426,101,32,69
28.731,2.374,12.887,2.492,0.424,-41.33,32.548,10.151,5.136,11.412,9.152,-4.29,42,54,-12
16.23,8.812,21.316,42.926,17.85,-12.739,6.524,3.818,-18.318,10.823,-7.546,-16.992,33,24,9
30.465,8.583,7.174,18.054,11.49,-32.28,116.852,30.931,110.164,-0.661,-7.048,-10.298,46,137,-91
4.389,-1.351,-16.421,4.708,-5.136,-50.08,88.204,20.933,65.308,49.225,22.952,51.762,11,152,-141
34.392,16.22,17.426,11.837,0.737,0.872,2.492,0.424,-41.33,38.503,12.215,17.535,36,0,36
28.556,1.417,-34.995,28.731,2.374,12.887,31.788,3.219,-25.667,10.823,-7.546,-16.992,68,96,-28
11.412,9.152,-4.29,6.524,3.818,-18.318,4.073,-3.097,-13.56,31.937,18.59,-2.526,26,20,6
-1.406,-5.898,-23.203,32.548,10.151,5.136,16.23,8.812,21.316,4.075,-1.296,-26.542,35,39,-4
34.392,16.22,17.426,18.054,11.49,-32.28,42.926,17.85,-12.739,4.708,-5.136,-50.08,53,76,-23
2.492,0.424,-41.33,31.788,3.219,-25.667,4.389,-1.351,-16.421,116.852,30.931,110.164,20,154,-134
11.837,0.737,0.872,30.465,8.583,7.174,11.412,9.152,-4.29,10.823,-7.546,-16.992,34,16,18
-1.406,-5.898,-23.203,4.075,-1.296,-26.542,4.073,-3.097,-13.56,28.731,2.374,12.887,27,25,2
6.524,3.818,-18.318,32.548,10.151,5.136,49.225,22.952,51.762,38.503,12.215,17.535,44,101,-57
-0.661,-7.048,-10.298,28.556,1.417,-34.995,88.204,20.933,65.308,16.23,8.812,21.316,48,95,-47
31.937,18.59,-2.526,116.852,30.931,110.164,42.926,17.85,-12.739,11.837,0.737,0.872,160,68,92
7.715,-1.063,-16.397,6.215,4.059,-7.549,21.439,18.582,-4.318,35.275,15.744,24.826,3,20,-17
12.951,4.99,-13.632,11.33,0.022,-7.843,13.647,-0.108,-2.096,7.994,2.724,-14.322,22,15,7
12.951,4.99,-13.632,56.337,5.142,47.044,11.33,0.022,-7.843,7.715,-1.063,-16.397,66,13,53
35.275,15.744,24.826,13.647,-0.108,-2.096,56.337,5.142,47.044,7.994,2.724,-14.322,61,56,5
21.439,18.582,-4.318,56.337,5.142,47.044,6.215,4.059,-7.549,12.951,4.99,-13.632,92,44,48
21.439,18.582,-4.318,7.715,-1.063,-16.397,11.33,0.022,-7.843,35.275,15.744,24.826,44,58,-14
6.215,4.059,-7.549,13.647,-0.108,-2.096,7.994,2.724,-14.322,11.33,0.022,-7.843,15,15,0
35.275,15.744,24.826,6.215,4.059,-7.549,13.647,-0.108,-2.096,12.951,4.99,-13.632,38,19,19
7.994,2.724,-14.322,21.439,18.582,-4.318,56.337,5.142,47.044,7.715,-1.063,-16.397,32,67,-35
7.715,-1.063,-16.397,12.951,4.99,-13.632,6.215,4.059,-7.549,56.337,5.142,47.044,9,57,-48
35.275,15.744,24.826,7.994,2.724,-14.322,11.33,0.022,-7.843,21.439,18.582,-4.318,60,27,33
13.647,-0.108,-2.096,11.33,0.022,-7.843,21.439,18.582,-4.318,7.715,-1.063,-16.397,32,40,-8
15.375,8.458,-24.958,10.375,-4.833,-56.75,83.333,15.708,69.458,28.208,0.333,-14.75,10,137,-127
70.583,23.083,64.083,24.0,-0.958,-14.708,3.25,0.917,-39.583,45.208,2.792,17.208,62,34,28
3.25,0.917,-39.583,24.0,-0.958,-14.708,28.208,0.333,-14.75,15.375,8.458,-24.958,39,13,26
10.375,-4.833,-56.75,83.333,15.708,69.458,70.583,23.083,64.083,45.208,2.792,17.208,65,121,-56
3.25,0.917,-39.583,28.208,0.333,-14.75,45.208,2.792,17.208,83.333,15.708,69.458,27,130,-103
24.0,-0.958,-14.708,15.375,8.458,-24.958,10.375,-4.833,-56.75,70.583,23.083,64.083,63,72,-9
83.333,15.708,69.458,70.583,23.083,64.083,24.0,-0.958,-14.708,28.208,0.333,-14.75,123,36,87
45.208,2.792,17.208,10.375,-4.833,-56.75,15.375,8.458,-24.958,3.25,0.917,-39.583,87,4,83
83.333,15.708,69.458,3.25,0.917,-39.583,24.0,-0.958,-14.708,10.375,-4.833,-56.75,106,54,52
28.208,0.333,-14.75,45.208,2.792,17.208,70.583,23.083,64.083,15.375,8.458,-24.958,56,110,-54
28.208,0.333,-14.75,70.583,23.083,64.083,10.375,-4.833,-56.75,3.25,0.917,-39.583,142,16,126
45.208,2.792,17.208,24.0,-0.958,-14.708,15.375,8.458,-24.958,83.333,15.708,69.458,63,112,-49
18.355,6.258,-23.491,36.925,0.465,2.456,57.381,1.81,32.45,31.674,-1.948,6.693,38,119,-81
31.513,-0.778,-0.668,15.986,2.197,-37.201,22.45,1.756,0.836,64.142,3.511,36.441,40,76,-36
22.45,1.756,0.836,36.925,0.465,2.456,19.168,-0.553,-17.814,18.355,6.258,-23.491,61,24,37
19.168,-0.553,-17.814,31.674,-1.948,6.693,15.986,2.197,-37.201,64.142,3.511,36.441,67,97,-30
57.381,1.81,32.45,22.45,1.756,0.836,31.513,-0.778,-0.668,18.355,6.258,-23.491,67,45,22
64.142,3.511,36.441,31.513,-0.778,-0.668,36.925,0.465,2.456,19.168,-0.553,-17.814,74,43,31
31.674,-1.948,6.693,15.986,2.197,-37.201,19.168,-0.553,-17.814,57.381,1.81,32.45,43,55,-12
15.986,2.197,-37.201,57.381,1.81,32.45,36.925,0.465,2.456,31.513,-0.778,-0.668,66,85,-19
31.674,-1.948,6.693,64.142,3.511,36.441,18.355,6.258,-23.491,22.45,1.756,0.836,64,69,-5
36.925,0.465,2.456,57.381,1.81,32.45,15.986,2.197,-37.201,22.45,1.756,0.836,94,37,57
31.513,-0.778,-0.668,19.168,-0.553,-17.814,18.355,6.258,-23.491,31.674,-1.948,6.693,61,32,29
64.142,3.511,36.441,19.168,-0.553,-17.814,57.381,1.81,32.45,31.513,-0.778,-0.668,105,101,4
64.142,3.511,36.441,18.355,6.258,-23.491,36.925,0.465,2.456,15.986,2.197,-37.201,108,57,51
22.45,1.756,0.836,31.513,-0.778,-0.668,31.674,-1.948,6.693,36.925,0.465,2.456,49,77,-28
76.52,15.174,41.904,46.183,9.184,35.901,0.797,-1.06,-52.085,28.423,2.272,-46.825,128,50,78
18.608,17.983,-21.124,63.065,14.652,8.938,53.874,0.507,7.394,108.361,23.085,85.712,39,140,-101
25.836,2.517,-37.267,25.559,2.228,-54.735,121.588,26.068,61.097,36.958,13.836,27.577,31,151,-120
35.487,-4.098,-12.941,27.917,12.013,-46.968,66.945,9.269,50.007,60.292,3.555,42.889,45,88,-43
70.283,26.771,32.703,97.66,20.934,69.177,22.707,-2.681,-36.718,68.999,19.119,24.521,215,59,156
64.786,19.732,45.192,67.907,13.54,-10.359,45.707,5.898,-34.589,11.141,11.085,-39.984,157,59,98
91.433,22.181,63.366,57.493,10.106,5.987,14.835,5.621,-56.11,23.761,1.252,-27.953,186,26,160
18.416,8.414,-24.51,18.076,1.41,-27.49,43.974,7.004,12.831,56.728,24.086,10.146,36,82,-46
72.187,17.358,46.128,57.025,15.797,52.487,10.917,5.183,-8.793,5.731,-6.202,-73.709,136,3,133
89.777,20.987,50.822,61.985,15.157,43.738,25.727,-1.528,-31.058,40.187,7.619,-11.597,100,82,18
14.893,6.939,-54.97,76.227,10.175,46.247,38.03,3.21,-13.884,42.305,1.772,6.548,90,78,12
33.148,13.344,-16.492,85.693,21.431,33.601,40.279,16.49,-22.901,6.296,-2.961,-17.833,106,37,69
14.032,0.669,-32.641,68.21,11.882,13.096,23.881,-2.502,-39.712,16.198,-0.65,-27.922,45,44,1
6.649,4.368,-56.778,41.712,17.499,-6.453,46.183,9.184,35.901,51.078,9.659,17.473,2,92,-90
53.874,0.507,7.394,36.958,13.836,27.577,11.141,11.085,-39.984,22.707,-2.681,-36.718,115,32,83
91.433,22.181,63.366,0.797,-1.06,-52.085,18.608,17.983,-21.124,70.283,26.771,32.703,86,46,40
108.361,23.085,85.712,23.761,1.252,-27.953,27.917,12.013,-46.968,25.559,2.228,-54.735,132,32,100
45.707,5.898,-34.589,72.187,17.358,46.128,57.493,10.106,5.987,63.065,14.652,8.938,124,103,21
40.187,7.619,-11.597,60.292,3.555,42.889,18.416,8.414,-24.51,25.836,2.517,-37.267,107,40,67
28.423,2.272,-46.825,14.893,6.939,-54.97,64.786,19.732,45.192,121.588,26.068,61.097,48,187,-139
61.985,15.157,43.738,67.907,13.54,-10.359,76.52,15.174,41.904,33.148,13.344,-16.492,107,97,10
42.305,1.772,6.548,40.279,16.49,-22.901,57.025,15.797,52.487,23.881,-2.502,-39.712,94,92,2
68.999,19.119,24.521,66.945,9.269,50.007,56.728,24.086,10.146,5.731,-6.202,-73.709,138,47,91
41.712,17.499,-6.453,14.032,0.669,-32.641,85.693,21.431,33.601,14.835,5.621,-56.11,68,127,-59
76.227,10.175,46.247,6.296,-2.961,-17.833,18.076,1.41,-27.49,97.66,20.934,69.177,27,88,-61
68.21,11.882,13.096,10.917,5.183,-8.793,89.777,20.987,50.822,43.974,7.004,12.831,62,122,-60
25.727,-1.528,-31.058,38.03,3.21,-13.884,16.198,-0.65,-27.922,51.078,9.659,17.473,92,48,44
35.487,-4.098,-12.941,108.361,23.085,85.712,6.649,4.368,-56.778,45.707,5.898,-34.589,165,59,106
72.187,17.358,46.128,91.433,22.181,63.366,14.893,6.939,-54.97,53.874,0.507,7.394,173,63,110
70.283,26.771,32.703,121.588,26.068,61.097,27.917,12.013,-46.968,33.148,13.344,-16.492,199,100,99
11.141,11.085,-39.984,40.187,7.619,-11.597,57.025,15.797,52.487,23.761,1.252,-27.953,54,97,-43
28.423,2.272,-46.825,63.065,14.652,8.938,67.907,13.54,-10.359,18.416,8.414,-24.51,101,106,-5
66.945,9.269,50.007,42.305,1.772,6.548,14.032,0.669,-32.641,61.985,15.157,43.738,110,82,28
60.292,3.555,42.889,76.52,15.174,41.904,5.731,-6.202,-73.709,18.608,17.983,-21.124,162,27,135
56.728,24.086,10.146,23.881,-2.502,-39.712,97.66,20.934,69.177,89.777,20.987,50.822,86,201,-115
85.693,21.431,33.601,16.198,-0.65,-27.922,64.786,19.732,45.192,57.493,10.106,5.987,119,122,-3
22.707,-2.681,-36.718,25.727,-1.528,-31.058,43.974,7.004,12.831,46.183,9.184,35.901,42,125,-83
10.917,5.183,-8.793,25.836,2.517,-37.267,41.712,17.499,-6.453,35.487,-4.098,-12.941,23,85,-62
0.797,-1.06,-52.085,38.03,3.21,-13.884,6.296,-2.961,-17.833,68.999,19.119,24.521,27,73,-46
76.227,10.175,46.247,68.21,11.882,13.096,25.559,2.228,-54.735,51.078,9.659,17.473,202,72,130
36.958,13.836,27.577,40.279,16.49,-22.901,18.076,1.41,-27.49,14.835,5.621,-56.11,72,28,44
42.305,1.772,6.548,70.283,26.771,32.703,6.649,4.368,-56.778,28.423,2.272,-46.825,108,3,105
63.065,14.652,8.938,76.52,15.174,41.904,40.187,7.619,-11.597,14.032,0.669,-32.641,124,39,85
23.881,-2.502,-39.712,67.907,13.54,-10.359,60.292,3.555,42.889,53.874,0.507,7.394,87,107,-20
121.588,26.068,61.097,18.416,8.414,-24.51,72.187,17.358,46.128,85.693,21.431,33.601,114,158,-44
46.183,9.184,35.901,56.728,24.086,10.146,33.148,13.344,-16.492,14.893,6.939,-54.97,105,45,60
43.974,7.004,12.831,27.917,12.013,-46.968,57.025,15.797,52.487,45.707,5.898,-34.589,88,81,7
23.761,1.252,-27.953,22.707,-2.681,-36.718,6.296,-2.961,-17.833,41.712,17.499,-6.453,44,49,-5
38.03,3.21,-13.884,25.836,2.517,-37.267,68.21,11.882,13.096,61.985,15.157,43.738,76,161,-85
25.559,2.228,-54.735,66.945,9.269,50.007,91.433,22.181,63.366,25.727,-1.528,-31.058,104,93,11
