score1,auto1,score2,auto2
21532 19637 10 0 16337 19636 11 4
16492 20667 54 0 19450 19451 53 0
19480 12576 18 0 11322 12993 112 37
13710 18228 43 0 11506 19050 18 2
14579 17101 76 0 18187 18500 18 0
11323 21511 40 2 19560 18248 39 0
15145 14380 96 20 11505 14466 50 0
17556 16637 22 0 13626 19221 36 2
16337 11506 14 4 19451 12993 21 0
19637 14579 42 0 13710 20667 40 2
19560 12576 28 2 18500 19636 31 0
21532 11505 27 0 19050 19450 43 0
14466 11323 42 2 17556 11322 41 20
19221 19480 69 0 21511 18228 51 20
18248 18187 41 5 13626 14380 152 27
17101 16492 69 1 15145 16637 31 0
12993 19450 66 20 19637 18500 2 0
19636 11323 29 5 20667 11505 42 2
19451 14579 14 0 21511 19050 77 2
19221 16337 58 0 18187 14466 61 3
16637 18248 21 0 12576 13710 27 2
19480 17556 35 20 11506 15145 64 2
11322 13626 75 20 21532 17101 52 2
16492 18228 80 20 14380 19560 89 22
19050 18500 52 0 16337 20667 31 10
19637 19451 66 20 16637 18187 85 23
19450 15145 90 10 18248 19221 41 2
17101 21511 82 0 12993 17556 80 2
14466 12576 75 2 18228 13626 35 0
14380 13710 72 22 11323 21532 43 2
19636 11506 35 2 16492 11322 56 20
11505 19560 45 2 14579 19480 64 40
18248 19050 27 2 17101 19637 71 20
16637 19450 43 10 18228 16337 48 20
20667 14380 106 24 12576 17556 21 2
18500 11506 33 10 19221 21532 45 4
19636 19451 42 0 14466 19480 62 20
12993 13710 107 5 15145 19560 68 2
18187 11322 83 25 11505 21511 73 20
13626 16492 58 10 11323 14579 45 2
score1,auto1,score2,auto2
21035 14380 103 20 20667 18228 69 20
15210 11145 31 4 11322 18362 102 24
11258 16492 94 40 12554 18359 143 48
14339 16526 41 10 18363 19451 103 40
18003 18306 80 20 11323 19480 45 23
14579 21511 45 20 14349 13626 143 25
15145 19457 64 20 22116 11148 134 20
16337 15216 67 43 11146 13710 55 40
12993 11147 193 36 19450 17101 92 20
18228 11322 93 23 16526 16492 116 30
19451 19480 92 20 12554 18362 123 48
11323 14349 134 20 18359 11145 67 24
13626 18363 54 4 18306 22116 77 21
11148 18003 103 23 21035 13710 18 0
11258 20667 87 20 16337 12993 145 36
14339 17101 55 0 15145 14380 159 50
14579 15216 48 22 19450 19457 94 20
15210 11146 142 28 21511 11147 113 20
11323 13626 22 0 19451 11322 58 20
22116 18228 86 4 14349 18003 149 35
12554 21035 84 0 11145 16337 12 0
16492 19480 131 40 12993 15145 194 56
11148 18363 133 44 15216 18362 98 20
13710 11147 92 20 18359 14339 71 24
17101 19457 90 20 11258 15210 118 40
11146 18306 124 45 20667 14579 92 40
21511 19450 114 45 14380 16526 92 20
12993 22116 235 56 19451 21035 32 23
15216 12554 84 23 15145 11322 77 20
13710 18228 145 40 11145 13626 102 40
18362 16492 135 40 19457 11323 73 20
18003 11258 145 41 11147 14579 123 40
14380 14349 173 59 19480 11146 118 25
16526 11148 131 44 17101 18306 94 20
16337 19450 55 20 14339 15210 88 40
18359 20667 96 44 18363 21511 101 40
11322 12993 166 64 19457 13710 73 40
18362 15145 134 24 13626 21035 61 20
11147 15216 97 30 16492 14349 152 20
16526 11323 94 3 11146 12554 135 30
18228 19451 88 20 11148 14579 124 40
18306 18359 106 24 14380 15210 140 23
19450 20667 91 40 11145 18003 54 22
21511 14339 75 30 22116 11258 165 21
17101 18363 97 20 19480 16337 84 44
13710 15145 89 20 14349 16526 131 50
13626 12554 126 44 11147 11148 128 40
14579 14380 128 40 18362 12993 200 60
16492 19451 76 20 18306 19450 111 0
15210 22116 110 40 20667 11323 86 23
11322 16337 80 40 18003 21511 187 55
21035 18359 76 26 15216 17101 85 23
19457 11145 84 20 19480 14339 42 20
18363 11146 131 44 18228 11258 106 40
